"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1085","test_hotel_list","test","Mon Jan 12 17:58:50 UTC 2026","passed","Mon Jan 12 17:58:52 UTC 2026","TestHootel","test_hootel","",""
"A belépés tesztelése","1541","Hootel Login","test","Mon Jan 12 17:58:47 UTC 2026","passed","Mon Jan 12 17:58:49 UTC 2026","TestHootel","test_hootel","",""
